"doc_id","text"
1396788943157350400," malam sahabat mei pelaku perjalanan rute tsb wajib surat keterangan negatif rtpcrrapid test antigen tes genose bandara keberangkatan amp tdk sikm info selengkapnya silahkan cek link https "
1396788325986484224,"il virus cinese "
1396788313864933376," selangor mencatat kes harian tertinggi kes diikuti sarawak kes johor kuala lumpur masingmasing melaporkan kes "
1396677423538843648," bekas pesakit ceritakan pengalaman ngeri selepas dijangkiti pandemik "
1396776470605967360,"situasi terkini malaysia mei kes baharu kes gt tempatan gt import kes sembuh kematian layari berita "
1396748153525784576," restoran servis makan kereta pelanggan langgar sop "
1396706927585992704," disaran pendokong usaha kerajaan memutuskan rantaian "
1396787343323975680," pkp dilaksanakan orang anggota pelbagai jabatan agensi kdn terbabit penugasan covid "
1396747672044949504," masyarakat maklumat keperluan mengambil vaksin "
1396780872813142016," kes positif covid mengikut negeri mei setakat jam "
1396780661088964608,"info covid mei setakat jam "
1396788192200708096," terpikir pendek operasi kedai makan kawan kawan kedai makan tu covid kawal research eh kedai makan bukak certain hour kurangkan jangkitan covid "
1396788140845584384,"terpapar covid perawat rsud mandau bengkalis meninggal dunia "
1396658214263869440,"tujuh daerah zona merah covid pekanbaru waspada "
1396788114006237184," tengok covid rekaan video disebar izin kesedaran "
1396788062357762048,"ufdufef ufea test u ufe ufe planta uf uci ufart uf euskadi iagt ubufef ufcd gt ubufef ufcd gt ubufef ufcd gt ubufef besteakotros "
1396787883734827008,"terbaru penanganan jakarta update data tes pcrantigen vaksinasi dki jakarta mei strategi tes lacak isolasi digencarkan temukan sebanyaknya positif menularkan virus "
1396787915846422528," jalankan protokol kesehatan m rumah tdk mendesak masker dgn jaga jarak rumah cuci tangan dgn sabun ingatkan warga "
1396787830936932352," data covid kota malang mei konfirmasi positif meninggal sembuh pemantauan suspek total isolasi rs isolasi rumah meninggal dunia discarded "
1396787743766630400," ditengah upaya pemerintah memerangi penularan covid pejabat gebenur jawa timur yg kerumunan pemerintah sdh tdk konsisten dg aturan kebijakan yg tong kosong nyaring bunyinya"
1396787660098703360,"covid nak as a joke"
1396787522756255744,"rahul gandi is great "
1396787411661692928,"black fungus be like ye mei hu yeh mere white aur yellow fungi hai aur hamari pawri ho rahi hai "
1396787359216066560,"kawan bayar hospital swasta vaksin covid dgn hospital kerajaan cukai bayar tanggung orang kos vaksin nak jugak free ufufuf hahaha ceritanyauf"
1396785707172057088," susahnya peduli dgn yg berlaku berasa kena covid mmg penat dgn mentaliti orang "
1396714382541746176,"kerajaan pn memperbodohkan rakyat yg d lakukan hambik nk tukar seleta "
1396787310365089792,"bhabinkamtibmas kelurahan kalisegoro gunungpati semarang aipda tri zul anggota himbauan pengunjung obyek wisata goa kreo gunungpati mematuhi protokol kesehatan m mencegah timbulnya penyebaran covid mei "
1396787006546477056," pemerintah gak duit menangani covid baca "
1396786801742782464,"aplikasi mysejahtera rekod masuk memudahkan anggota kpdnhep mahupun premis pemantauan "
1396678382817988608,"dirujuk kes pekerja pembinaan hampw communications pte ltd gejala "
1396776476444295168,"kes covid catat angka lepasi "
1396686933175144448,"negara mencatat angka korban selepas kematian dicatat minggu "
1396661722002255872,"kebanyakan kes teruk penelitian susulan keskes dijalankan "
1396753491465437184," perkara bergantung anggota sukarelawan kerana pasukan ramai "
1396681921669713920," kriteria pelanggan memohon bantuan pelanggan diberhentikan kerja pekerjaan "
1396676267307462656,"keazaman politik jujur kalangan pemimpin israel palestin mengelakkan korban nyawa keduadua "
1396786704854380544,"assalamualaikum nur qistina agent sah aia public takaful promote aia medical card uaufefmanfaat berbaloi kesihatan ufe covid online jgn risau jua "
1396786296505339904," sebebas "
1396765785364652032," mei pkpd sektor ekonomi kuantan dapatkan pengesahan pengoperasian perkhidmatan sahih berita rtm "
1396678864076632064," mei pkpd tujuh mukim kuantan malam sahih berita rtm "
1396701907108782080," mei perlis tingkatkan bilangan kapasiti dos vaksin ppv sahih berita rtm "
1396746013461803008," mei pkp buka sektor ekonomi beroperasi langkah terbaik bantu rakyat sahih berita rtm "
1396753164645257216," mei pkp tiada pembelian panik dikesan kedah sahih berita rtm "
1396778999808872448," mei macklin amzah meninggal dunia sahih berita rtm "
1396737211538677760," mei langgar sop pkp warga asing dihadap mahkamah sahih berita rtm "
1396786273386254336," mei katil icu covid hospital melaka hampiri ambang amaran sahih berita rtm "
